"PCSI_0019_Pa_T_5265","PCSI_0073_Pa_T_5265","PCSI_0074_Pa_T_5265","PCSI_0081_Pa_T_5265","PCSI_0104_Pa_T_5265","PCSI_0106_Pa_T_5265","PCSI_0107_Pa_T_5265","PCSI_0108_Pa_T_5265","PCSI_0171_Pa_T_5265","PCSI_0175_Pa_T_5265","PCSI_0208_Pa_T_5265","PCSI_0297_Pa_T_5265","PCSI_0301_Pa_T_5265","PCSI_0347_Pa_T_5265","PCSI_0356_Pa_T_5265","PCSI_0358_Pa_T_5265","PCSI_0384_Pa_T_5265","PCSI_0402_Pa_T_5265","PCSI_0403_Pa_T_5265","PCSI_0449_Pa_T_5265","PCSI_0456_Pa_T_5265","PCSI_0460_Pa_T_5265","PCSI_0588_Pa_T_5265","PCSI_0589_Pa_T_5265","PCSI_0593_Pa_T_5265","PCSI_0612_Pa_T_5265","PCSI_0624_Pa_T_5265","PCSI_0627_Pa_T_5265","PCSI_0643_Pa_T_5265"
15.258892,5.200355,11.652451,35.164656,3.964429,14.356945,20.936455,0,10.690967,18.206494,11.764845,18.0939,9.521473,4.793204,8.644971,46.26133,50.414248,21.413749,23.346637,4.423153,53.400663,129.148188,12.056181,18.820331,6.21159,12.425648,0,97.670097,4.799731
0.309417,0,3.450073,0,1.254267,1.348789,0.145281,4.636132,16.503603,1.303188,1.007249,2.971419,8.28087,7.177355,0.495885,0,0.170675,0.172455,0.299185,2.557638,4.29778,0.563361,9.40809,2.283316,59.24416,11.154244,0,0.79359,6.284048
128.889853,367.024215,18.669457,486.112572,29.639415,38.189277,75.739285,347.909414,210.403105,20.486577,36.595703,300.057127,166.857147,214.753206,66.843586,185.298074,69.671531,31.829399,66.502969,111.099017,69.37615,562.636916,14.63857,259.066597,35.557718,265.024703,234.656838,1410.609863,191.732428
1.23334,0,52.466854,0,23.56302,39.449357,0,35.128525,303.702467,60.174719,1.402882,7.114573,91.663032,21.337558,45.362213,33.878868,6.838279,66.379044,34.722106,24.508166,171.008949,29.692077,104.824217,0,12.683551,31.165826,10.623861,0,137.695014
0.686859,0,0.504412,5.834767,0,0,3.396061,0,3.783812,1.130764,1.39783,0,2.373922,0,17.066342,0,2.000201,0,0,0,0,1.062187,3.018279,3.35848,0,0,0,0,0
0,0,0,0,0,0,1.522436,0,0,0.540008,0,0,0,0,0,0,0,0,0.358771,0,0,0,6.411483,0,0,0,0,0,0
2.168523,4.936812,3.760141,1.607237,2.193293,7.825233,5.418751,9.752902,23.266669,4.981106,8.814221,3.194153,3.948105,6.961671,1.649689,5.936171,3.239342,2.002133,3.146217,5.267973,11.443776,4.052417,8.559781,14.11735,1.741872,7.749657,24.108211,13.196202,3.997619
1.566579,2.169493,2.175389,0.593929,2.116646,5.384853,4.192803,5.990139,13.581007,3.488024,3.662411,0.673706,15.782475,3.255323,0.945046,9.015768,0.663373,1.636095,6.117142,7.124435,16.295191,1.948264,20.436668,9.012491,4.120098,9.50181,3.421066,5.062846,7.117829
12.90991,31.55284,9.417803,51.440974,5.438052,20.205893,10.125744,35.914798,26.584117,4.426043,6.35871,4.68613,1.23575,12.923356,6.129911,0.850988,28.502236,1.977476,2.060206,4.465373,5.876497,19.035755,0.796422,39.605305,2.683483,16.012892,1.628873,13.320338,12.719245
1.641859,0.685363,8.66485,3.305055,6.033614,4.771841,1.733586,11.81045,8.514694,4.539026,0.79653,12.248259,20.330136,6.93677,5.453767,13.940185,0.804938,3.440457,11.822803,14.385609,27.208979,6.259835,6.277461,10.541284,27.341633,13.725905,31.655605,21.835985,4.68124
4.81204,8.22696,3.933338,22.664951,4.439856,10.351143,12.988605,6.100673,13.233453,2.438489,10.777994,4.333595,5.042824,3.921326,11.438971,10.175543,8.594616,0.457521,1.78634,10.345681,17.571707,9.24913,6.301987,25.538695,1.343529,22.65717,20.295076,23.169513,6.489622
5.079882,14.886668,4.357797,6.257414,5.116779,10.751471,1.541085,10.745063,18.105948,1.454535,6.417322,1.73973,30.875233,6.186442,6.446845,6.072018,5.580202,2.724345,23.489741,8.654404,1.431232,13.986428,24.606032,6.825776,1.021405,15.353834,35.901025,16.689733,9.432845
5.839814,22.421508,3.036887,19.079697,2.169676,4.393725,16.290513,9.746458,11.842771,7.271187,16.359762,39.923466,3.82799,11.241691,19.317015,21.124212,14.387647,9.005022,16.589691,7.227877,5.736503,13.204422,9.465545,15.851408,6.214238,7.77605,13.36682,29.767046,12.150615
5.023617,11.175888,35.761542,28.69001,17.611747,41.183388,24.628233,48.315903,48.769601,34.629683,10.036864,38.917429,29.111629,42.146757,27.425142,19.783478,10.619945,6.298587,42.178143,75.177749,55.944047,15.030088,63.145524,15.573304,55.541588,75.466296,0,6.915305,19.079209
8.084815,62.85123,1.119371,24.080349,0,0,0.727225,0,0,2.694802,0.113076,11.575395,0,1.242372,0.252721,0,1.194533,1.784461,0.347997,0,0,13.336982,3.686272,0,0,0,0,14.514758,10.83803
0,0,0.291119,0,0.102105,0,0,0.862714,1.251933,0.147685,0.052522,0,0,0,0,0,0,0,1.552927,0,0,0.139868,0.684896,1.000531,0,0,0,0,3.142057
215.344919,348.485364,61.984917,621.276082,19.340736,40.933352,376.208599,129.923628,66.690788,92.053599,291.691379,466.441062,132.117838,152.830336,367.080275,559.902882,480.024751,459.958822,179.505288,83.770445,165.98002,439.910764,100.403568,194.659958,177.816565,80.188475,257.801142,750.302668,152.569016
6.4508,21.570636,10.237166,24.009766,5.952733,13.66495,13.724919,28.629011,18.949464,6.711618,17.180565,31.279089,18.306867,12.225288,23.111966,34.936747,12.388879,7.884776,10.283341,7.821451,14.09904,15.437408,20.316193,20.014695,13.760763,16.769917,29.198922,26.474215,30.175469
